,raw_in,v_in,raw_out,v_out
0,0.0,0.0016250495925778986,3.0,0.0024175824175824176
100,100.0,0.08200250251777703,145.0,0.11684981684981684
200,200.0,0.16025489059114353,290.0,0.23369963369963367
300,300.0,0.23925730155339214,432.0,0.34813186813186814
400,400.0,0.31975975829340497,577.0,0.46498168498168496
500,500.0,0.4007622302926725,723.0,0.5826373626373627
600,600.0,0.4800146488845485,869.0,0.7002930402930403
700,700.0,0.5588920560319834,1014.0,0.8171428571428572
800,800.0,0.6385194860683004,1162.0,0.9364102564102563
900,900.0,0.7178969084749901,1309.0,1.0548717948717947
1000,1000.0,0.7973993346964935,1455.0,1.1725274725274726
1100,1100.0,0.8772767723624378,1605.0,1.2934065934065933
1200,1200.0,0.9566541947691275,1755.0,1.4142857142857141
1300,1300.0,1.0357816095461898,1906.0,1.535970695970696
1400,1400.0,1.1150340281380657,2041.0,1.6447619047619046
1500,1500.0,1.1944114505447554,2180.0,1.7567765567765568
1600,1600.0,1.2749139072847682,2334.0,1.8808791208791207
1700,1700.0,1.3544163335062716,2483.0,2.0009523809523806
1800,1800.0,1.4349187902462845,2619.0,2.1105494505494504
1900,1900.0,1.513921201208533,2768.0,2.230622710622711
2000,2000.0,1.5936736350596639,2912.0,2.3466666666666667
2100,2100.0,1.673551072725608,3056.0,2.4627106227106226
2200,2200.0,1.7533035065767388,3199.0,2.577948717948718
2300,2300.0,1.8328059327982422,3360.0,2.7076923076923074
2400,2400.0,1.9118083437604907,3514.0,2.8317948717948713
2500,2500.0,1.990935758537553,3652.0,2.943003663003663
2600,2600.0,2.0726882534257025,3806.0,3.067106227106227
2700,2700.0,2.1523156834620196,3969.0,3.1984615384615385
2800,2800.0,2.232693136387219,4095.0,3.3
2900,2900.0,2.3125705740531632,4095.0,3.3
3000,3000.0,2.3926980193487353,4095.0,3.3
3100,3100.0,2.474825525681326,4095.0,3.3
3200,3200.0,2.5539529404583883,4095.0,3.3
3300,3300.0,2.632830347605823,4095.0,3.3
3400,3400.0,2.711957762382885,4095.0,3.3
3500,3500.0,2.790460158085879,4095.0,3.3
3600,3600.0,2.8699625843073826,4095.0,3.3
3700,3700.0,2.948339976195563,3488.0,2.8108424908424907
3800,3800.0,3.0264673604541157,3547.0,2.8583882783882784
3900,3900.0,3.1037197180089726,3526.0,2.8414652014652013
4000,4000.0,3.1823471175267803,3498.0,2.8189010989010987
