,raw_in,v_in,raw_out,v_out
0,0.0,0.0018750572222052675,5.0,0.004029304029304029
100,100.0,0.08200250251777703,146.0,0.11765567765567764
200,200.0,0.16025489059114353,289.0,0.2328937728937729
300,300.0,0.23925730155339214,432.0,0.34813186813186814
400,400.0,0.31975975829340497,575.0,0.46336996336996333
500,500.0,0.4007622302926725,721.0,0.581025641025641
600,600.0,0.4800146488845485,865.0,0.697069597069597
700,700.0,0.5588920560319834,1011.0,0.8147252747252747
800,800.0,0.6385194860683004,1158.0,0.9331868131868131
900,900.0,0.7178969084749901,1307.0,1.0532600732600732
1000,1000.0,0.7973993346964935,1460.0,1.1765567765567766
1100,1100.0,0.8772767723624378,1606.0,1.2942124542124542
1200,1200.0,0.9566541947691275,1752.0,1.4118681318681316
1300,1300.0,1.0359066133610035,1902.0,1.5327472527472528
1400,1400.0,1.1150340281380657,2052.0,1.6536263736263734
1500,1500.0,1.1944114505447554,2199.0,1.7720879120879118
1600,1600.0,1.2747889034699547,2333.0,1.88007326007326
1700,1700.0,1.3545413373210853,2485.0,2.002564102564102
1800,1800.0,1.4349187902462845,2630.0,2.1194139194139194
1900,1900.0,1.5140462050233467,2782.0,2.241904761904762
2000,2000.0,1.5936736350596639,2905.0,2.341025641025641
2100,2100.0,1.673551072725608,3056.0,2.4627106227106226
2200,2200.0,1.7533035065767388,3206.0,2.5835897435897435
2300,2300.0,1.8328059327982422,3357.0,2.705274725274725
2400,2400.0,1.9118083437604907,3500.0,2.8205128205128203
2500,2500.0,1.990935758537553,3659.0,2.9486446886446886
2600,2600.0,2.0726882534257025,3819.0,3.0775824175824176
2700,2700.0,2.1523156834620196,3968.0,3.1976556776556775
2800,2800.0,2.2328181402020326,4095.0,3.3
2900,2900.0,2.312695577867977,4095.0,3.3
3000,3000.0,2.392823023163549,4095.0,3.3
3100,3100.0,2.474950529496139,4095.0,3.3
3200,3200.0,2.5539529404583883,4095.0,3.3
3300,3300.0,2.632830347605823,4095.0,3.3
3400,3400.0,2.711957762382885,4095.0,3.3
3500,3500.0,2.7903351542710655,4095.0,3.3
3600,3600.0,2.870087588122196,4095.0,3.3
3700,3700.0,2.948214972380749,3516.0,2.8334065934065933
3800,3800.0,3.02696737571337,3528.0,2.8430769230769233
3900,3900.0,3.1038447218237866,3529.0,2.843882783882784
4000,4000.0,3.1822221137119664,3507.0,2.826153846153846
