,raw_in,v_in,raw_out,v_out
0,0.0,0.0015000457777642141,0.0,0.0
100,100.0,0.08200250251777703,149.0,0.12007326007326008
200,200.0,0.16025489059114353,296.0,0.23853479853479853
300,300.0,0.23938230536820582,440.0,0.3545787545787546
400,400.0,0.31975975829340497,590.0,0.4754578754578754
500,500.0,0.4007622302926725,742.0,0.5979487179487178
600,600.0,0.4800146488845485,888.0,0.7156043956043956
700,700.0,0.5588920560319834,1036.0,0.8348717948717947
800,800.0,0.6385194860683004,1176.0,0.9476923076923076
900,900.0,0.7180219122898037,1322.0,1.0653479853479852
1000,1000.0,0.7973993346964935,1465.0,1.1805860805860806
1100,1100.0,0.8772767723624378,1620.0,1.3054945054945053
1200,1200.0,0.9566541947691275,1766.0,1.4231501831501832
1300,1300.0,1.0359066133610035,1883.0,1.5174358974358972
1400,1400.0,1.1150340281380657,2016.0,1.6246153846153846
1500,1500.0,1.1945364543595691,2163.0,1.743076923076923
1600,1600.0,1.2747889034699547,2309.0,1.8607326007326006
1700,1700.0,1.3544163335062716,2451.0,1.975164835164835
1800,1800.0,1.4347937864314706,2589.0,2.0863736263736263
1900,1900.0,1.5140462050233467,2734.0,2.2032234432234428
2000,2000.0,1.5937986388744774,2888.0,2.327326007326007
2100,2100.0,1.673676076540422,3024.0,2.436923076923077
2200,2200.0,1.7533035065767388,3176.0,2.5594139194139194
2300,2300.0,1.8328059327982422,3327.0,2.681098901098901
2400,2400.0,1.9119333475753044,3472.0,2.7979487179487177
2500,2500.0,1.9911857661671803,3601.0,2.9019047619047615
2600,2600.0,2.0728132572405165,3755.0,3.026007326007326
2700,2700.0,2.1524406872768336,3906.0,3.147692307692308
2800,2800.0,2.232943144016846,4057.0,3.269377289377289
2900,2900.0,2.312695577867977,4095.0,3.3
3000,3000.0,2.392823023163549,4095.0,3.3
3100,3100.0,2.474950529496139,4095.0,3.3
3200,3200.0,2.554077944273202,4095.0,3.3
3300,3300.0,2.633205359050264,4095.0,3.3
3400,3400.0,2.712082766197699,4095.0,3.3
3500,3500.0,2.790460158085879,4095.0,3.3
3600,3600.0,2.87021259193701,4095.0,3.3
3700,3700.0,2.948214972380749,3483.0,2.8068131868131867
3800,3800.0,3.027717398602252,3550.0,2.860805860805861
3900,3900.0,3.104344737083041,3524.0,2.83985347985348
4000,4000.0,3.182472121341594,3478.0,2.8027838827838827
